numeroClient;vehicle_id;vehicule;Immat;unid_id;telephone;Date COMM
40122;;Custom 291;DE-291-ZK;614270285;33632280441;
40122;;Saxo 619;DK-619-DY;614270304;33683725676;
40122;;Daily 1004;1004 XS 26;912441070;33608978681;
40122;;Saxo 027;BZ-027-GN;912442755;33789512360;
40122;;912442775;912442775;912442775;33640149601;
40122;;Trafic 2121;2121 XG 26;912442906;33642835771;
40122;;Recreo 919;CW-919-YY;912443834;33681386410;
20054;;car 1;car 1;912443803;33645582449;
20054;;car 2;car 2;912443809;33645449793;
30042;;HH956;CY-956-HH;613321332;33677644863;
40100;;ASTRON T916;CQ-605-DL;613460974;33688925093;
30022;;453M;453M;912441415;33674284038;
30022;;822;822;912441967;33683922336;
30022;;176;176;912441970;33683287813;
30022;;473;473;912441975;33682566422;
30022;;336;336;912441984;33632960036;
30022;;136;136;912441985;33682089884;
30022;;506;506;912441988;33687515823;
30022;;681;681;912441989;33687858677;
30022;;744;744;912441990;33637162130;
30022;;604;604;912443346;33680031304;
30022;;535;535;912443421;33685534174;
50001;;Mercedes E200;BR-412-ML;912442750;33640179828;
20077;;613461478;613461478;613461478;33684093875;
30096;;JOEL;613321283;613321283;33607416599;
30096;;ERIC;613321506;613321506;33670879011;
30096;;0;;613321524;33608225975;
30096;;OLIVIER LU;912441165;912441165;33677522893;
30096;;PASCAL;912443997;912443997;33789591231;
30096;;LOIC 1;912444001;912444001;33647312781;
30070;;Espace;CB-288-KH;912441160;33683721386;
30070;;Passat;BL-416-HV;912441330;33787163045;
30070;;508;CW-325-VY;912442855;33675929362;
30070;;Octavia;CY-454-LY;912442859;33677272708;
20120;;NV400 CAM BEN;DD-535-KR;613461507;33688164147;
20120;;C15 Serge;8436-WG-72;912441099;33632040061;
20120;;Iveco Charles-Antoine;2490-WY-72;912441146;33632739110;
20120;;0;;912441155;33647431065;
20120;;Peugeot Jean-Marc;2811-XH-72;912441244;33638278617;
20120;;NV200 Jean-Luc L;CS -076-ZM;912441357;33789497856;
20120;;Primastar Christian;DC-786-RM;912441429;33645600639;
20120;;Kangoo Nicolas;1046-WG-72;912441982;33681660666;
20120;;Jumpy Jean-Luc P;6129-VR-72;912442749;33643851157;
20120;;Transit Pedro;7736-XY-72;912443407;33645449516;
20120;;0;;912443481;33682894289;
20120;;Kangoo Philippe;BV-972-DJ;912444075;33645960260;
40098;;CORA;912441189;912441189;33643725486;
40098;;912444000;912444000;912444000;33640335556;
10039;;PEUGEOT BOXER;1223 GQ 2A;912441578;33645449457;
20073;;PEUGEOT 207;912443442;912443442;33689278658;
20073;;912443502;912443502;912443502;33607433110;
30044;;613321289;613321289;613321289;33632737490;
30044;;912444167;912444167;912444167;33689169969;
40129;;614270042;614270042;614270042;33632281320;
40129;;NELSON;614270063;614270063;33632280303;
40129;;614270318;614270318;614270318;33632280392;
20083;;mercedes axor grue;BE472MK;912442789;3,31E+11;
20083;;Clio 2;3259 WN 37;912442802;33608224874;
20083;;nissan juke;CG 906 PD;912442809;33645600610;
20083;;Twingo AJ887LX;AJ887LX;912442813;33647498980;
20083;;citroen c3 BG478VD;BG478VD;912442818;33645600976;
20040;;VSL 307;AT 026 MV;912440339;33640646253;
20040;; TAXI MERCEDES;BY 779 QS;912440439;33675449010;
20040;;TAXI LATITUDE;BL 943 AX;912441143;33683718600;
20040;;0;;912441424;33644327689;
20040;;TAXI C4;BQ 849 LT;912441493;33788349102;
20040;;AMBU TRAFFIC;AA 706 BS;912442923;33608228838;
20040;;TAXI 407;BF 989 BP;912442953;33684527536;
20040;;VSL BERLINGO TPMR;DB 857 GA;912442963;33631571585;
20040;;AMBU VIVARO;CE 553 DN;912442973;33788347057;
20040;;VSL FLUENCE;AV 329 GS;912442980;33640645359;
20040;; TAXI TRAFFIC TPMR;AX 691 SF;912443515;33677808912;
20040;; TAXI MERIVA;BZ 285 BG;912443522;33678507797;
20040;;TAXI TEPEE TPMR;BX 366 HE;912443529;33678508505;
20040;;TAXI 508;BP 242 YD;912443530;33678507506;
20019;;Mascotte 20m3;613461827;613461827;33676554678;
20019;;Master ;BL 352 YD;912444053;33676554761;
20104;;912441151;912441151;912441151;33637470252;
20063;;912441959;912441959;912441959;33689382017;
20063;;LUDOVIC PECQUEUX;912441960;912441960;33682894433;
20063;;912441963;912441963;912441963;33681381408;
20063;;912441964;912441964;912441964;33681312556;
20063;;912441965;912441965;912441965;33689864686;
20063;;912441969;912441969;912441969;33689383015;
20063;;912442742;912442742;912442742;33643846286;
20063;;912442744;912442744;912442744;33645890682;
20063;;912442746;912442746;912442746;33648339482;
20063;;912442754;912442754;912442754;33645486384;
20063;;912442796;912442796;912442796;33645890664;
20063;;912442803;912442803;912442803;33645486376;
20063;;912442807;912442807;912442807;33675892049;
20063;;912443437;912443437;912443437;33631073924;
20063;;912443438;912443438;912443438;33645162204;
20063;;912443443;912443443;912443443;33631301155;
20063;;912444196;912444196;912444196;33684424968;
20063;;912444197;912444197;912444197;33689082815;
20063;;912444198;912444198;912444198;33684422029;
20063;;912444200;912444200;912444200;33684444469;
10067;;25;DL-556-HK;912441064;33680336283;
10067;;V21;AJ543TF;912441074;33648435378;
10067;;V3;CH361BX;912441089;33681229951;
10067;;v26;DL-300-GD;912441443;33689157129;
10067;;1763050;;912442862;33688104684;
10067;;v23;DL-877-HK;912442863;33681705083;
10067;;V7;DD035RA;912442864;33672764222;
10067;;V11;AX545CP;912442869;33677785827;
10067;;V27;DL-735-GD;912442870;33788209547;
10067;;V28;DL831JG;912442872;33788209563;
10067;;V8;CD295GC;912442873;33681707768;
10067;;V18;DF424TB;912442874;33647788084;
10067;;V1;AS277YV;912442876;33788209597;
10067;;V5;CH366BX;912442877;33676954445;
10067;;v24;DL-699-HK;912442879;33788209258;
10067;;V2;CP851HQ;912442887;33788209429;
10067;;V17;DE680BE;912442965;33681891885;
10067;;V4;BJ085VF;912442969;33681707388;
10067;;V14;AG251NQ;912442972;33674565664;
10067;;V15;CZ154PN;912442976;33681344072;
20119;;LORIS;CD-071-MV;613321864;33640335908;
20119;;JEROME;DJ189BM;912441961;33645813285;
20119;;MICKAEL;CC-842-ET;912444005;3,37E+11;
20110;;458 italia;CB-456-MK;612230501;3373638041;
20110;;AUDI R8;WW360;612230503;33632664959;
20110;;LP 560-4;CH-963-VQ;613321883;33686250228;
20110;;PORSCHE PANAMERA;DD-424-KX;912441171;33645306551;
20087;;912442717;912442717;912442717;33638764948;
20102;;tik;613461304;613461304;33786989686;
20102;;AYHAN;912440285;912440285;33645282271;
20102;;MUZAFFER;912441164;912441164;33684199983;
20102;;ENVER;912441405;912441405;33632552129;
40102;;Transporter 320;320;613461588;33785352148;
40102;;Ducato 627;627;912440279;33689055365;
40102;;taxi 508;786;912440442;33645711194;
40102;;VSL 010;10;912441122;33683725769;
40102;;VSL O11;11;912442737;33640338074;
40102;;VSL 009;9;912442767;33608222877;
40102;;Taxi 154;154;912442795;33678768822;
40102;;Ducato 195;195;912443331;33681395911;
40102;;Transporter 070;70;912443482;33674981280;
40102;;Transporter 723;723;912444172;33681497397;
30040;;MONDEO 2;BE 373 GK;912441068;33677782216;
30040;;MONDEO 3;CJ 698 EJ;912441516;33683217204;
30040;;TRAFFIC 08;AN-401-VD;912441974;33684526232;
30040;;TRAFFIC 06;AQ-410-AG;912441978;33685531138;
30040;;DUCATO 05;AV-456-BP;912441979;33681312587;
30040;;MONDEO 4;CT 708 VV;912442915;33645810814;
30040;;MONDEO 7;CJ 940 EJ;912443459;33670563797;
30040;;TAXI 1;BE 998 GJ;912443509;33631077513;
10020;;CONNECT;BY072WJ;912440315;33645459892;
10020;;Fiesta;CS086MB;912440334;33785602380;
10020;;Transit;CL185TK;912440350;33645449229;
40061;;613321516;613321516;613321516;33671196304;
40061;;vrignaud;912441174;912441174;33687839301;
40061;;912442937;912442937;912442937;33672050385;
40061;;912444121;912444121;912444121;33688251558;
40061;;912444128;912444128;912444128;33645790575;
40061;;912444131;912444131;912444131;33681836227;
40061;;912444136;912444136;912444136;33786079836;
40061;;912444137;912444137;912444137;33786076243;
40061;;912444139;912444139;912444139;33684507375;
40061;;912444143;912444143;912444143;33672655097;
40061;;912444144;912444144;912444144;33678947691;
40061;;912444145;912444145;912444145;33608946142;
40061;;912444146;912444146;912444146;33672367094;
40061;;912444150;912444150;912444150;33689307695;
40061;;912444234;912444234;912444234;33645490460;
40054;;IVECO CPZ;IVECO CPZ;613461825;33608897457;
40054;;Gregory;912444079;912444079;33786961937;
40054;;Bruno;912444080;912444080;33640893049;
40054;;eric;912444081;912444081;33683718180;
40054;;Samuel;912444084;912444084;3372865722;
40054;;Pick-up Mazda;912444085;912444085;33645694722;
40054;;Iveco Grue;912444100;912444100;33681705517;
40054;;Jumper ABISS;912444104;912444104;33608586049;
40054;;Mathieu Partner ABISS ;912444112;912444112;33688117132;
40054;;Bernard ;912444114;912444114;33687665373;
20112;;912442765;912442765;912442765;33789527360;
10082;;trafic;CG323SG;612230610;33645550387;
10082;;612230614;612230614;612230614;33645554680;
10082;;transporter;AS123ET;912440326;33645448174;
10082;;20 M3 - AIRES;CG227CR;912440332;33645448189;
10082;;Carlos;France Express;912441361;33645590270;
10082;;Blasco;France Express;912441513;33645608944;
10082;;Nour Eddine;France Express;912443462;33673685270;
10082;;BOXER;CW 225 MQ;912443996;33631291303;
40080;;613461809;613461809;613461809;;
40038;;Dany;912440366;912440366;33789598827;
40038;;David;912442716;912442716;33640337943;
40038;;Cyrille;912442728;912442728;33640336943;
40038;;Gerard;912443422;912443422;33682894639;
30093;;hicham1;613461291;613461291;33674492300;
30093;;Marie helene;613461822;613461822;33645282206;
30093;;Paul;613461845;613461845;33688329206;
30093;;DAVID;DD-074-KV;912441370;33645595266;
30093;;0;;912443354;33674379586;
30093;;scenic;912444162;912444162;33687409708;
40066;;CHRISTIAN;4699 YS17;613461602;33789832452;
40066;;GREGORY; CL 149 LG;613461854;33681633403;
40066;; LUDOVIC;613461859;613461859;33637904702;
40066;;PASCAL;AB 371 WK;613461865;33608367162;
40066;;RICHARD; DB 025 ZZ;613461866;33689294518;
20118;;912442720;AM-592-SK;912442720;33637843941;
20118;;912442735;912442735;912442735;33788152327;
20118;;912442736;912442736;912442736;33789237902;
20118;;912442739;DB-504-FZ;912442739;33788313827;
20118;;912442970;CG-372-AD;912442970;33681608551;
40082;;613460947;613460947;613460947;33608721331;
40082;;613461857;613461857;613461857;33643720510;
40082;;912442839;912442839;912442839;33673789729;
30101;;912443382;912443382;912443382;33608616884;
30101;;912443386;912443386;912443386;33670061418;
30101;;912443412;912443412;912443412;33679030233;
40128;;912443484;912443484;912443484;33638848884;
30066;;CLASS E350 AMG;CF-614-VP;912442991;33632500056;
30008;;613321248;613321248;613321248;33789590231;
30008;;IVECO 20M3;921AEY76;613321343;33645449854;
30008;;613460917;613460917;613460917;33640336199;
30008;;613460921;613460921;613460921;33789590251;
10019;;C320;AS-822-KS;912440367;33645449240;
20093;;912442826;912442826;912442826;33678946661;
20093;;912442827;912442827;912442827;33678009531;
20093;;912442838;912442838;912442838;33679310019;
20114;;613461544;613461544;613461544;33788209406;
20114;;912441229;912441229;912441229;33640338071;
30081;;V.S;613321528;613321528;33671131533;
30081;;E.D;613321532;613321532;33670878813;
60004;;912441573;912441573;912441573;33645387475;
60004;;912443309;912443309;912443309;33681677520;
10094;;MULLER;CA-374-KH;613321004;33673022622;
10094;;MARC;4785 YV 68;613321014;33670060693;
10094;;613321015;AT-641-WK;613321015;33679051168;
10094;;KARIM;AA 621 PR;613321262;33647637905;
10094;;SAKI;BS 582 ZN;613321308;33645485611;
10094;;PATIENT;804 AKK 51;613321312;33643483142;
10094;;613321325;613321325;613321325;33640194651;
10094;;Derrick;Br 455 en;613321333;33647620845;
10094;;ancien AN-017-PV;FABIEN;613321349;33643846807;
10094;;au garage;au garage;613321370;33671866750;
10094;;robert;143 bsl 60;613321372;33686068787;
10094;;613321373;613321373;613321373;33642427869;
10094;;au garage;au garage;613321375;33678576737;
10094;;ALAIN;BY-381-QW;613321378;33676203785;
10094;;JAMEL;BH 142 QE;613321379;33643847607;
10094;;ROBERT;DC 163 EN;613321380;33679104099;
10094;;HUGUES;1133 WV 80;613321382;33645487328;
10094;;613321383;613321383;613321383;33645810852;
10094;;613321390;613321390;613321390;33678326269;
10094;;613321391;613321391;613321391;33643015004;
10094;;MORY;3475 XT 27;613321393;33645282200;
10094;;fabien;AN 017 PV;613321395;33643626007;
10094;;ASSANE;491-DXK-77;613321397;33677095614;
10094;;ANTO;AT-855-PE;613321933;33675350056;
10094;;derrick;BR 455 EN ;613321954;33647315491;
10094;;613321965;613321965;613321965;33647639127;
20060;;CAR 5 CYL;613461467;613461467;33637646500;
20060;;JEAN YVES;613461469;613461469;33683722563;
20060;;CAR DSG 1;613461471;613461471;33786290350;
20060;;BOUGON;613461476;613461476;3,34E+11;
20060;;SEAT 1;613461477;613461477;33679718946;
20060;;NICO;613461479;613461479;33637646494;
20060;;AUDI;613461480;613461480;33637647204;
20060;;DAN;613461481;613461481;33682894413;
20060;;C RIET;613461624;613461624;33637640868;
20060;;JACQUEMOUD;614270058;614270058;33671298720;
20060;;CHEVRON;912441148;912441148;33672493930;
30037;;SEAT 2;912441997;912441997;33688077473;
20060;;PATEUX;912444034;912444034;33630589548;
20060;;MICHALLET;912444073;912444073;33673020580;
50014;;PASCAL;1391-ZT-93;613321863;33789590304;
50014;;FRED;AG-674-QC;613461856;33786981823;
50014;;CEDRIC;5241-YM-93;912444078;33632867175;
50014;;JAMAL;BL-001-WT;912444098;33688632913;
30047;;4004 KM 46;4004 KM 46;912442843;33676572871;
30047;;BX 716 JL;BX 716 JL;912442848;33677746482;
30047;;CG 220 JA;CG 220 JA;912444164;33677746352;
40062;;Traffic Maxime-Mathieu;;613461592;33674522024;
40062;;Traffic Charles-Didier;;613461618;33689210566;
40062;;Arnaud Master;DF-907-EA;912444147;33670427928;
60008;;BOXER;912441082;912441082;33788209241;
40045;;PARTENER;912441113;912441113;33647252000;
40118;;transit benne simple;DL461NC;613321505;33671471445;
40118;;sprinter fourgon;DD060GJ;613461537;33670522643;
40118;;613461843;613461843;613461843;33643720914;
40118;;sprinter benne simple;DD938GK;912441073;33787031907;
40118;;sprinter benne double;DD909GK;912442995;33672213381;
10040;;sprinter;;912441492;33645383852;
10040;;vito;;912441561;33645381707;
20004;;HELENE;AS-597-XL;613461533;33689185907;
20004;;DIDIER;CQ-492-EJ;912440368;33785602470;
20004;;CHRISTIAN;CL-517-NZ;912440440;33645448993;
20004;;CHANTAL;BH-067-EV;912443340;33679613134;
10096;;MASTER 21;Att Pose - 912443444;912443444;33675970466;
40123;;CORSA;912442726;912442726;33789591448;
40031;;JEAN PIERRE;CP 912 MQ;613321201;33681874856;
40031;;JEAN PAUL;CA 168 FC;613321264;33645282706;
40031;;CHRISTOPHE;CB 212 QE;613321267;33647321179;
40031;;WAL;AD 097 FG;613321272;33689054591;
40031;;JF;AX 854 NT;613321296;33644242517;
40031;;MARCO;DC 056 NL;613321313;33686496535;
40031;;CYRIL;CE 397 PA;613321319;33684943220;
40031;;MARC PHILIPPE;CB 746 PP;613321320;33648950979;
40031;;613321328;613321328;613321328;33632040285;
40031;;613321330;613321330;613321330;33647623308;
40031;;PETIT DAVID;1075 YV 71;613321331;33632737215;
40031;;DAVID POILANE;CA 774 DR;613321966;33645282286;
40031;;JEAN LUC;CB 168 QE;613460869;33786079795;
40031;;HERVE;CB 130 QE;613460960;33640339687;
10103;;MAN TGM;CQ-888-RM;613460830;33686241095;
10103;;MAN TGS;BM-967-AJ;613460845;33789309017;
20084;;912443861;912443861;912443861;33645282293;
10058;;Partner;85CDA06;912441180;33689149510;
50008;;BMW;912443425;912443425;33607222542;
50008;;Vito 1;912443517;912443517;33678508908;
10046;;Citroen C8;;912440287;33645448696;
10046;;Peugeot 807;Patrick;912440379;33645448666;
20068;;Scania Capacity;AB-829-MZ;613321300;33632737355;
20068;;Volvo; 5265 XP 80;613321302;33632737632;
20068;;Scania PB 14.37;DC-432-HQ;613321335;33677781915;
20068;;Mercedes 1;AK-658-AX;912441131;33683720969;
20068;;CNJ 1;CY-715-QL;912441173;33683722682;
20068;;Fiat;CP-192-KT;912441238;33688995463;
20068;;Mercedes 2;CN-135-TS;912441372;33676697442;
20068;;CNJ 2;CP-205-KT;912442860;33683721143;
40094;;DIDIER;613461299;613461299;33672045494;
40094;;JEROME;912444165;912444165;33683729753;
40094;;CLEMENT;912444174;912444174;33684943919;
10077;;MOUHADAB;Att Pose - 912440365;912440365;33645448242;
10077;;SIBOURG;Att Pose - 912440369;912440369;33645448224;
10077;;Att Pose - 912440404;Att Pose - 912440404;912440404;33645448261;
10077;;PEAN;912440412;912440412;33645448267;
10077;;XAVIER;Att Pose - 912440429;912440429;33645448222;
10077;;LOIC;Att Pose - 912441232;912441232;33645590635;
10077;;DEVIN;Att Pose - 912441242;912441242;33645584408;
10077;;LIOUX;Att Pose - 912441256;912441256;33645588214;
10077;;BROUARD;Att Pose - 912441354;912441354;33788209397;
10077;;XXX;Att Pose - 912441355;912441355;33683218936;
10077;;CHAUVIN;Att Pose - 912441363;912441363;33689361407;
10077;;CHEVEREAU;Att Pose - 912441367;912441367;33689218242;
10077;;LASCOMBE;912443327;912443327;33642428963;
10077;;MORDO;912443365;912443365;33682857930;
10077;;ELYE;912443376;912443376;33678647663;
10077;;GUINET;912443405;912443405;33638782252;
20030;;momo martine;;912440314;33645448184;
20030;;mag.izabelle;ATT POSE 912440383;912440383;33645448913;
40096;;912441497;912441497;912441497;33688360454;
40018;;judicael;CZ-024-JM;613460128;33789590829;
40018;;bruno;CY-827-PH;613460133;33670879402;
40018;;trafic blanc;BL-332-QL;613460148;33645282207;
40130;;613460803;613460803;613460803;33674608676;
20020;;Att Pose - 912442951;Att Pose - 912442951;912442951;33682089800;
20020;;Att Pose - 912442964;Att Pose - 912442964;912442964;33633378978;
20020;;Att Pose - 912442990;Att Pose - 912442990;912442990;33787061871;
40034;;IVECO 42;AK 286 TH;613321243;33789590158;
40034;;boitier a retourner;;613321518;33640336268;
40034;;IVECO 01;AK 118 TG;613460929;33640331616;
40034;;IVECO VL;BA 011 AF;912441451;33645599399;
40034;;SPRINTER 14M3;AM 470 RX;912443464;33681714366;
20062;;612230482;612230482;612230482;33607158138;
20062;;612230492;612230492;612230492;33607251394;
20062;;612230495;612230495;612230495;33787039208;
20062;;612230508;612230508;612230508;33607147658;
20062;;912440281;912440281;912440281;33607091565;
20062;;912440294;912440294;912440294;33786687468;
20062;;912440296;912440296;912440296;33607069305;
20062;;912440303;912440303;912440303;33607091424;
20062;;912441210;912441210;912441210;33786685912;
20062;;912441221;912441221;912441221;33786687306;
20062;;912441224;912441224;912441224;33787038295;
20062;;912441241;912441241;912441241;33607163463;
20062;;912441274;912441274;912441274;33607084998;
20062;;912441280;912441280;912441280;33607105886;
20062;;912441347;912441347;912441347;3307154636;
20062;;912441401;912441401;912441401;33607244733;
20062;;912441414;912441414;912441414;33607164612;
20062;;912441432;912441432;912441432;33607092834;
20062;;912442702;912442702;912442702;33788042212;
20062;;912442708;912442708;912442708;33788041970;
20062;;912442751;912442751;912442751;33608221805;
20062;;912442761;912442761;912442761;33608726854;
20062;;912442768;912442768;912442768;33608223527;
20062;;912442774;912442774;912442774;33608722045;
20062;;3521;CS 328 HD;912444194;33672868046;
20072;;FRED;613321259;613321259;33645892004;
20072;;FABRICE;613321321;613321321;33674814025;
20072;;DOMINIQUE;613460872;613460872;33688690910;
90004;;613461510;613461510;613461510;33688090710;
90004;;613461869;613461869;613461869;33786982177;
90004;;912441320;912441320;912441320;33686243574;
20032;;YARIS 563;CV-563-CK;912440319;3345449629;
20032;;AURIS 577;CV-577-SL;912440321;33645449204;
20032;;AURIS 885;CV-885-MP;912440323;33645448158;
20032;;CITROEN DS5;CV-897-PN;912440381;33785602462;
20032;;Z VOLVO C30;BT-711-BF;912440384;33645448635;
20032;;VERSO GRIS;BN-058-JA;912441075;33684518672;
20032;;VERSO NOIR;BS-494-JR;912441080;33787153261;
20032;;Z Q7;BW-613-VW;912441096;33684516214;
20032;;AUDI A1 S LINE;DF-979-ZN;912441207;33689149473;
20032;;Z FORD TRANSIT;AJ-985-QB;912441441;33645588036;
20032;;FORD CONNECT;DE-996-HM;912441450;33645589396;
20032;;Z KANGOO;CD-972-SG;912441481;33645566689;
20032;;Z OTMANE;OTMANE;912441484;33645579792;
20032;;IVECO AQ-176;AQ-176-JV;912441511;33645449320;
20032;;HIACE;BA-918-NK;912441562;33645449387;
20032;;Audi A3;Audi A3;912441570;33645389857;
20032;;YARIS 085;CV-085-CK;912442880;33645282705;
20032;;YARIS 938;CQ-938-NS;912442881;33684477371;
20032;;MERCEDES C 220 GRISE;DF-897-DB;912442888;33682089318;
20032;;FIAT DOBLO;AR-607-HJ;912442889;33786975191;
20032;;AYGO ROUGE 2;CN-811-PF;912442894;33681891183;
20032;;Z Espace 4;BM 793 WT;912442897;33684511808;
20032;;Z JUMPY;CH-843-WD;912442898;33783287830;
20032;;IVECO AN 050;AN-050-ZH;912442907;33684436257;
20032;;Fiat 500 Purple;DH-046-ER;912442913;33786874572;
20032;;Z A ATTRIBUER;AL-943-SW;912442914;33608581297;
20032;;AUDI A3 S LINE;DF-936-WX;912442918;33632461158;
20032;;Z FIESTA STE;CA-933-XP;912442920;33689166649;
20032;;Z A ATTRIBUER;;912442929;33673129493;
20032;;CLIO 4  Marron;CS-313-AY;912442955;33608974611;
20032;;Z MERCEDES SPRINTER;AN-966-YV;912442959;33645282211;
20032;;Z A ATTRIBUER;;912443539;33674764429;
20032;;AUDI A4 S LINE;DG-257-ED;912443542;33631228773;
20032;;FIAT 500 NOIRE;DH-047-HH;912443545;33787397483;
20032;;Z A ATTRIBUER;0;912443546;33683931737;
20032;;PEUGEOT BOXER;BP-725-FD;912443548;33631185804;
20032;;Z A ATTRIBUER;;912443550;33645282305;
20032;;Z FIESTA STE;CH-880-NV;912443554;33673097610;
10084;;4619 biod SOA;porteur 19 tonnes;613321329;33632552128;
10084;;4620 biod;porteur 19 tonnes man;613321339;33672868046;
10084;;4616 Biod Gonesse;porteur 19 tonnes;613321347;33645449872;
10084;;6947 biod;Tracteur semi;613321353;33787034735;
10084;;6944 biod;Tracteur semi;613321359;33672863251;
10084;;3631 biod;porteur 14 t bas;613321943;33637843423;
10084;;4622 SAPA 500;Porteur 19 tonnes;613460778;33789590115;
10084;;4623 SAPA 1100;porteur 19tonnes;613460898;33676554615;
10084;;3634 biod;porteur 14t;613460939;33672304626;
10084;;mager 3819;3819 cc726wk;912441482;33785602278;
10084;;MAGER 3811;3811 AX 326 ZB;912443802;33645282232;
10084;;Mager 3820;3820 CV148QA;912443819;33786874587;
10084;;MILLS grue 5402;5402 CP 103 LS;912443824;33643780694;
10084;;Mager 3809;3809 AV197HH;912443832;33608768196;
